logradouro;numero;complemento;valor_avaliacao;bairro;cidade;uf;ano_construcao;area_terreno;area_construida;fracao_ideal;padrao_acabamento;tipo_construcao;tipo_ocupacao;data_transacao;estado_conservacao;tipo_imovel;sfh;cod_logradouro;latitude;longitude;ano;year
av norte miguel arraes de alencar;3071;;1068562,63;Encruzilhada;Recife;PE;1997;438,0;511,0;1,0;Médio;Galpão;COMERCIAL COM LIXO ORGANICO;2023-12-21;Regular;Galpão;0,00;46540;-8.034273;-34.896337;2023;2023
av norte miguel arraes de alencar;3029;;1500000,00;Encruzilhada;Recife;PE;1957;779,33;582,44;1,0;Médio;Casa;COMERCIAL SEM LIXO ORGANICO;2023-11-17;Regular;Casa;0,00;46540;-8.034435;-34.896335;2023;2023
rua belmiro corrêa;133;apto 0001;110000,00;Encruzilhada;Recife;PE;1970;562,05;121,0;0,27191;Simples;Apartamento <= 4 Pavimentos;RESIDENCIAL;2023-09-26;Bom;Apartamento;0,00;10715;-8.035013;-34.895903;2023;2023
rua belmiro corrêa;133;apto 0001;110000,00;Encruzilhada;Recife;PE;1970;562,05;121,0;0,27191;Simples;Apartamento <= 4 Pavimentos;RESIDENCIAL;2023-09-22;Bom;Apartamento;0,00;10715;-8.035013;-34.895903;2023;2023
rua belmiro corrêa;133;apto 0002;110000,00;Encruzilhada;Recife;PE;1970;562,05;81,0;0,18202;Simples;Apartamento <= 4 Pavimentos;RESIDENCIAL;2023-09-22;Bom;Apartamento;0,00;10715;-8.035013;-34.895903;2023;2023
rua belmiro corrêa;133;apto 0003;110000,00;Encruzilhada;Recife;PE;1970;562,05;81,0;0,18202;Simples;Apartamento <= 4 Pavimentos;RESIDENCIAL;2023-09-22;Bom;Apartamento;0,00;10715;-8.035013;-34.895903;2023;2023
rua belmiro corrêa;133;apto 0004;110000,00;Encruzilhada;Recife;PE;1970;562,05;81,0;0,18202;Simples;Apartamento <= 4 Pavimentos;RESIDENCIAL;2023-09-26;Bom;Apartamento;0,00;10715;-8.035013;-34.895903;2023;2023
rua belmiro corrêa;133;apto 0005;110000,00;Encruzilhada;Recife;PE;1970;562,05;81,0;0,18202;Simples;Apartamento <= 4 Pavimentos;RESIDENCIAL;2023-09-22;Bom;Apartamento;0,00;10715;-8.035013;-34.895903;2023;2023
rua belmiro corrêa;109;;4900000,00;Encruzilhada;Recife;PE;1951;439,28;343,23;1,0;Médio;Casa;RESIDENCIAL;2023-09-26;Bom;Casa;0,00;10715;-8.035165;-34.895961;2023;2023
rua belmiro corrêa;109;;4900000,00;Encruzilhada;Recife;PE;1951;439,28;343,23;1,0;Médio;Casa;RESIDENCIAL;2023-09-26;Bom;Casa;0,00;10715;-8.035165;-34.895961;2023;2023
rua caio pereira;800;apto 201 edf sainte juliana;680000,00;Encruzilhada;Recife;PE;2017;1295,39;145,68;0,01586;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-03-23;Bom;Apartamento;525600,00;13269;;;2023;2023
rua caio pereira;800;apto 1501 edf sainte juliana;710000,00;Encruzilhada;Recife;PE;2017;1295,39;145,68;0,01586;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-08-10;Bom;Apartamento;0,00;13269;;;2023;2023
rua caio pereira;800;apto 203 edf sainte juliana;680000,00;Encruzilhada;Recife;PE;2017;1295,39;145,49;0,01581;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-11-07;Bom;Apartamento;0,00;13269;;;2023;2023
av santos dumont;824;;1447749,72;Encruzilhada;Recife;PE;1951;466,88;290,97;1,0;Médio;Casa;RESIDENCIAL;2023-12-01;Bom;Casa;0,00;53996;-8.034406;-34.896653;2023;2023
rua caio pereira;334;apto 902 edf essenza rosarinho;1120000,00;Encruzilhada;Recife;PE;2011;1737,63;183,6;0,01923;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-11-23;Bom;Apartamento;200000,00;13269;-8.035095;-34.896937;2023;2023
rua belmiro correa;59;apto 2101 edf. jardim monet;1100000,00;Encruzilhada;Recife;PE;2021;1509,37;187,9;0,01997;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-04-09;Bom;Apartamento;498714,06;10715;-8.035535;-34.896122;2023;2023
rua doutor jose maria;578;apto 1401 edf praia de ceres;625169,97;Encruzilhada;Recife;PE;2002;861,0;184,77;0,03333;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-03-21;Bom;Apartamento;318400,00;36196;-8.035868;-34.89625;2023;2023
rua doutor jose maria;600;apto 201 edf maria rosa;615000,00;Encruzilhada;Recife;PE;2010;2431,0;139,58;0,00912;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-10-27;Bom;Apartamento;100000,00;36196;-8.035672;-34.896615;2023;2023
rua doutor jose maria;600;apto 404 edf maria rosa;660000,00;Encruzilhada;Recife;PE;2010;2431,0;139,58;0,00912;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-06-08;Bom;Apartamento;390000,00;36196;-8.035672;-34.896615;2023;2023
rua doutor jose maria;600;apto 1304 edf maria rosa;610000,00;Encruzilhada;Recife;PE;2010;2431,0;139,57;0,00912;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-09-19;Bom;Apartamento;0,00;36196;-8.035672;-34.896615;2023;2023
rua doutor jose maria;600;apto 2103 edf maria rosa;530000,00;Encruzilhada;Recife;PE;2010;2431,0;111,89;0,00754;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-01-06;Bom;Apartamento;368000,00;36196;-8.035672;-34.896615;2023;2023
rua doutor jose maria;658;apto 802 edf casa rosada;1500000,00;Encruzilhada;Recife;PE;2010;3090,5;244,73;0,01401;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-08-02;Bom;Apartamento;0,00;36196;-8.035419;-34.897024;2023;2023
rua doutor jose maria;658;apto 2902 edf casa rosada;1500000,00;Encruzilhada;Recife;PE;2010;3090,5;244,73;0,01401;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-06-13;Bom;Apartamento;0,00;36196;-8.035419;-34.897024;2023;2023
rua doutor jose maria;512;apto 104 privilege rosarinho;600000,00;Encruzilhada;Recife;PE;2016;1619,23;122,37;0,01403;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-07-11;Bom;Apartamento;379457,33;36196;-8.035969;-34.895826;2023;2023
rua doutor jose maria;512;apto 1205 privilege rosarinho;470000,00;Encruzilhada;Recife;PE;2016;1619,23;100,79;0,01156;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-06-01;Bom;Apartamento;265000,00;36196;-8.035969;-34.895826;2023;2023
rua doutor jose maria;512;apto 1403 privilege rosarinho;460000,00;Encruzilhada;Recife;PE;2016;1619,23;98,45;0,01129;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-05-30;Bom;Apartamento;0,00;36196;-8.035969;-34.895826;2023;2023
rua doutor jose maria;512;apto 1403 privilege rosarinho;460000,00;Encruzilhada;Recife;PE;2016;1619,23;98,45;0,01129;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-05-30;Bom;Apartamento;0,00;36196;-8.035969;-34.895826;2023;2023
rua doutor jose maria;512;apto 1403 privilege rosarinho;460000,00;Encruzilhada;Recife;PE;2016;1619,23;98,45;0,01129;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-05-30;Bom;Apartamento;0,00;36196;-8.035969;-34.895826;2023;2023
rua andre reboucas;106;apto 303 edf bellagio residence;219736,34;Rosarinho;Recife;PE;2015;610,36;59,74;0,02165;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-03-21;Bom;Apartamento;0,00;4928;-8.032817;-34.897594;2023;2023
av santos dumont;881;apto 0204 edf ilha de cedros;275868,11;Rosarinho;Recife;PE;1984;1231,05;99,45;0,02799;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-03-14;Bom;Apartamento;0,00;53996;-8.033767;-34.896839;2023;2023
rua engenheiro sampaio;68;apto 602 splendid rosarinho;425000,00;Rosarinho;Recife;PE;2014;2202,75;99,82;0,01211;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-05-08;Bom;Apartamento;0,00;53627;-8.033695;-34.897214;2023;2023
rua eng sampaio;110;apto 1801 edf villa aguinaldo jurema;791683,14;Rosarinho;Recife;PE;2016;1084,52;180,0;0,025;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-10-09;Bom;Apartamento;0,00;53627;;;2023;2023
rua eng sampaio;110;apto 1802 edf villa aguinaldo jurema;791683,14;Rosarinho;Recife;PE;2016;1084,52;180,0;0,025;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-10-09;Bom;Apartamento;0,00;53627;;;2023;2023
rua eng sampaio;110;apto 102 edf villa aguinaldo jurema;728323,36;Rosarinho;Recife;PE;2016;1084,52;180,0;0,025;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-08-23;Bom;Apartamento;0,00;53627;;;2023;2023
rua eng sampaio;110;apto 202 edf villa aguinaldo jurema;636439,92;Rosarinho;Recife;PE;2016;1084,52;180,0;0,025;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-06-02;Bom;Apartamento;0,00;53627;;;2023;2023
rua eng sampaio;110;apto 1501 edf villa aguinaldo jurema;840000,00;Rosarinho;Recife;PE;2016;1084,52;180,0;0,025;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-08-31;Bom;Apartamento;0,00;53627;;;2023;2023
rua engenheiro sampaio;110;apto 501 edf villa aguinaldo jurema;720000,00;Rosarinho;Recife;PE;2016;1084,52;180,0;0,025;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-02-15;Bom;Apartamento;0,00;53627;;;2023;2023
rua engenheiro sampaio;218;apto 1702 edf quinta das baronesas;690223,39;Rosarinho;Recife;PE;2014;1361,43;177,47;0,0186;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-09-01;Bom;Apartamento;0,00;53627;-8.033582;-34.898096;2023;2023
rua andre reboucas;45;apto 301 edf david becker;360000,00;Rosarinho;Recife;PE;2013;2610,0;207,27;0,01314;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-05-26;Bom;Apartamento;0,00;4928;-8.033397;-34.896962;2023;2023
rua andre reboucas;45;apto 702 edf david becker;360000,00;Rosarinho;Recife;PE;2013;2610,0;207,27;0,01315;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-12-28;Bom;Apartamento;0,00;4928;-8.033397;-34.896962;2023;2023
rua andre reboucas;45;apto 1401 edf david becker;1100000,00;Rosarinho;Recife;PE;2013;2610,0;207,27;0,01314;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-12-28;Bom;Apartamento;0,00;4928;-8.033397;-34.896962;2023;2023
rua andre reboucas;45;apto 1502 edf david becker;1100000,00;Rosarinho;Recife;PE;2013;2610,0;207,27;0,01314;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-06-20;Bom;Apartamento;800000,00;4928;-8.033397;-34.896962;2023;2023
rua engenheiro sampaio;59;apto 501 edf gran parc premium-bloco a;1140000,00;Rosarinho;Recife;PE;2015;2961,24;184,61;0,00931;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-12-06;Bom;Apartamento;0,00;53627;-8.0341;-34.897511;2023;2023
rua engenheiro sampaio;59;apto 702 edf gran parc premium-bloco a;1050000,00;Rosarinho;Recife;PE;2015;2961,24;184,61;0,00931;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-04-19;Bom;Apartamento;472958,30;53627;-8.0341;-34.897511;2023;2023
rua engenheiro sampaio;59;apto 1901 edf gran parc premium-bloco a;843982,14;Rosarinho;Recife;PE;2015;2961,24;184,61;0,00931;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-12-08;Bom;Apartamento;0,00;53627;-8.0341;-34.897511;2023;2023
rua engenheiro sampaio;59;apto 2202 edf gran parc premium-bloco b;760000,00;Rosarinho;Recife;PE;2015;2961,24;151,32;0,00736;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-10-05;Bom;Apartamento;0,00;53627;-8.0341;-34.897511;2023;2023
rua engenheiro sampaio;59;apto 2601 edf gran parc premium-bloco b;840000,00;Rosarinho;Recife;PE;2015;2961,24;151,19;0,00735;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-04-11;Bom;Apartamento;0,00;53627;-8.0341;-34.897511;2023;2023
av santos dumont;815;apto 401 edf pedra do sitio das roseiras;515729,41;Rosarinho;Recife;PE;2008;1020,0;148,26;0,01999;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-10-25;Bom;Apartamento;0,00;53996;-8.034253;-34.897062;2023;2023
av santos dumont;815;apto 501 edf pedra do sitio das roseiras;550000,00;Rosarinho;Recife;PE;2008;1020,0;148,26;0,01999;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-08-09;Bom;Apartamento;330000,00;53996;-8.034253;-34.897062;2023;2023
av santos dumont;815;apto 1101 edf pedra do sitio das roseiras;615000,00;Rosarinho;Recife;PE;2008;1020,0;148,26;0,01999;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-04-25;Bom;Apartamento;207409,00;53996;-8.034253;-34.897062;2023;2023
rua caio pereira;225;apto 403 edf maria luiza;716250,00;Rosarinho;Recife;PE;2012;2179,25;171,43;0,0116;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-02-02;Bom;Apartamento;0,00;13269;-8.034439;-34.897576;2023;2023
rua caio pereira;225;apto 2301 edf maria luiza;942500,00;Rosarinho;Recife;PE;2012;2179,25;172,78;0,01169;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-04-28;Bom;Apartamento;744000,00;13269;-8.034439;-34.897576;2023;2023
rua caio pereira;225;apto 2802 edf maria luiza;750000,00;Rosarinho;Recife;PE;2012;2179,25;165,37;0,01119;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-11-17;Bom;Apartamento;0,00;13269;-8.034439;-34.897576;2023;2023
rua caio pereira;225;apto 2803 edf maria luiza;860000,00;Rosarinho;Recife;PE;2012;2179,25;171,43;0,0116;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-12-07;Bom;Apartamento;0,00;13269;-8.034439;-34.897576;2023;2023
rua caio pereira;175;apto 102 edf maria esther;850000,00;Rosarinho;Recife;PE;2009;1050,63;189,82;0,03333;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-06-13;Bom;Apartamento;0,00;13269;-8.034401;-34.898153;2023;2023
rua caio pereira;175;apto 1002 edf maria esther;1046000,00;Rosarinho;Recife;PE;2009;1050,63;189,82;0,03333;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-11-27;Bom;Apartamento;227200,00;13269;-8.034401;-34.898153;2023;2023
av santos dumont;725;apto 1202 edf desb dirceu borges;1100000,00;Rosarinho;Recife;PE;2008;1918,49;200,45;0,01785;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-04-26;Bom;Apartamento;819715,48;53996;-8.034973;-34.897451;2023;2023
rua doutor jose maria;768;;1275000,00;Rosarinho;Recife;PE;1939;521,37;208,81;1,0;Simples;Casa;COMERCIAL COM LIXO ORGANICO;2023-08-02;Bom;Casa;0,00;36196;-8.035226;-34.897995;2023;2023
rua doutor jose maria;792;apto 501 edf parque da jaqueira home service;273000,00;Rosarinho;Recife;PE;2011;1129,36;74,33;0,01105;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-08-08;Bom;Apartamento;0,00;36196;-8.035164;-34.898152;2023;2023
rua doutor jose maria;792;apto 606 edf parque da jaqueira home service;270348,92;Rosarinho;Recife;PE;2011;1129,36;74,33;0,01105;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-09-08;Bom;Apartamento;0,00;36196;-8.035164;-34.898152;2023;2023
rua doutor jose maria;792;apto 606 edf parque da jaqueira home service;270348,92;Rosarinho;Recife;PE;2011;1129,36;74,33;0,01105;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-09-20;Bom;Apartamento;0,00;36196;-8.035164;-34.898152;2023;2023
rua doutor jose maria;792;apto 904 edf parque da jaqueira home service;276226,05;Rosarinho;Recife;PE;2011;1129,36;74,88;0,01114;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-07-12;Bom;Apartamento;0,00;36196;-8.035164;-34.898152;2023;2023
rua doutor jose maria;792;apto 1204 edf parque da jaqueira home service;280322,31;Rosarinho;Recife;PE;2011;1129,36;74,88;0,01114;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-10-17;Bom;Apartamento;0,00;36196;-8.035164;-34.898152;2023;2023
rua doutor jose maria;792;apto 1204 edf parque da jaqueira home service;280322,31;Rosarinho;Recife;PE;2011;1129,36;74,88;0,01114;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-09-19;Bom;Apartamento;0,00;36196;-8.035164;-34.898152;2023;2023
rua regueira costa;287;apto 1401 edf saint guilherme;630000,00;Rosarinho;Recife;PE;2013;1166,23;165,25;0,02001;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-08-15;Bom;Apartamento;430000,00;57029;-8.032697;-34.898533;2023;2023
rua regueira costa;287;apto 1601 edf saint guilherme;770000,00;Rosarinho;Recife;PE;2013;1166,23;165,25;0,02001;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-02-10;Bom;Apartamento;0,00;57029;-8.032697;-34.898533;2023;2023
rua regueira costa;287;apto 1601 edf saint guilherme;770000,00;Rosarinho;Recife;PE;2013;1166,23;165,25;0,02001;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-02-08;Bom;Apartamento;0,00;57029;-8.032697;-34.898533;2023;2023
rua regueira costa;265;apto 1003 edf. quinta das orquídeas;270000,00;Rosarinho;Recife;PE;2021;1639,99;73,75;0,00993;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-03-03;Bom;Apartamento;0,00;57029;-8.032985;-34.898666;2023;2023
rua regueira costa;265;apto 603 edf. quinta das orquídeas;360000,00;Rosarinho;Recife;PE;2021;1639,99;73,75;0,00993;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-05-17;Bom;Apartamento;0,00;57029;-8.032985;-34.898666;2023;2023
rua regueira costa;265;apto 401 edf. quinta das orquídeas;365000,00;Rosarinho;Recife;PE;2021;1639,99;74,7;0,01006;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-02-13;Bom;Apartamento;0,00;57029;-8.032985;-34.898666;2023;2023
rua regueira costa;265;apto 504 edf. quinta das orquídeas;258388,37;Rosarinho;Recife;PE;2021;1639,99;74,7;0,01006;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-12-18;Bom;Apartamento;0,00;57029;-8.032985;-34.898666;2023;2023
rua regueira costa;265;apto 702 edf. quinta das orquídeas;300000,00;Rosarinho;Recife;PE;2021;1639,99;73,75;0,00993;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-07-24;Bom;Apartamento;200000,00;57029;-8.032985;-34.898666;2023;2023
rua regueira costa;265;apto 903 edf. quinta das orquídeas;270000,00;Rosarinho;Recife;PE;2021;1639,99;73,75;0,00993;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-10-22;Bom;Apartamento;0,00;57029;-8.032985;-34.898666;2023;2023
rua regueira costa;265;apto 1103 edf. quinta das orquídeas;262992,10;Rosarinho;Recife;PE;2021;1639,99;73,75;0,00993;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-05-05;Bom;Apartamento;0,00;57029;-8.032985;-34.898666;2023;2023
rua regueira costa;265;apto 1103 edf. quinta das orquídeas;260000,00;Rosarinho;Recife;PE;2021;1639,99;73,75;0,00993;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-02-27;Bom;Apartamento;0,00;57029;-8.032985;-34.898666;2023;2023
rua engenheiro sampaio;255;apto 1303 edf débora;368207,18;Rosarinho;Recife;PE;2003;1022,4;114,65;0,01854;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-06-14;Bom;Apartamento;0,00;53627;-8.033781;-34.899086;2023;2023
rua engenheiro sampaio;255;apto 1503 edf débora;400000,00;Rosarinho;Recife;PE;2003;1022,4;114,65;0,01854;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-08-11;Bom;Apartamento;271696,50;53627;-8.033781;-34.899086;2023;2023
rua engenheiro sampaio;255;apto 1701 edf débora;450000,00;Rosarinho;Recife;PE;2003;1022,4;114,65;0,01854;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-07-20;Bom;Apartamento;340000,00;53627;-8.033781;-34.899086;2023;2023
rua caio pereira;75;apto 1101 edf abelardo carneiro leão;770000,00;Rosarinho;Recife;PE;2017;1030,98;196,94;0,0341;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-02-27;Bom;Apartamento;320000,00;13269;;;2023;2023
rua caio pereira;75;apto 1302 edf abelardo carneiro leão;900000,00;Rosarinho;Recife;PE;2017;1030,98;192,47;0,03359;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-10-05;Bom;Apartamento;300000,00;13269;;;2023;2023
rua caio pereira;75;apto 401 edf abelardo carneiro leão;760000,00;Rosarinho;Recife;PE;2017;1030,98;192,47;0,03359;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-10-05;Bom;Apartamento;0,00;13269;;;2023;2023
rua general abreu e lima;144;apto 1901 edf mirante;1620000,00;Rosarinho;Recife;PE;2012;2210,0;237,22;0,01562;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-08-15;Bom;Apartamento;880000,00;388;-8.034044;-34.89935;2023;2023
rua general abreu e lima;144;apto 2702 edf mirante;1550000,00;Rosarinho;Recife;PE;2012;2210,0;237,22;0,01562;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-06-13;Bom;Apartamento;0,00;388;-8.034044;-34.89935;2023;2023
av norte miguel arraes de alencar;3533;apto 0204 bloco p3;345000,00;Tamarineira;Recife;PE;1984;16216,63;106,13;0,00583;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-11-21;Bom;Apartamento;0,00;46540;-8.031186;-34.899559;2023;2023
av norte miguel arraes de alencar;3533;apto 0601 bloco p3;398874,02;Tamarineira;Recife;PE;1984;16216,63;106,13;0,00583;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-08-03;Bom;Apartamento;0,00;46540;-8.031186;-34.899559;2023;2023
av norte miguel arraes de alencar;3533;apto 0305 bloco p2;300000,00;Tamarineira;Recife;PE;1984;16216,63;106,13;0,00583;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-07-20;Bom;Apartamento;0,00;46540;-8.031186;-34.899559;2023;2023
av norte miguel arraes de alencar;3533;apto 0307 bloco p1;270000,00;Tamarineira;Recife;PE;1984;16216,63;83,71;0,00459;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-12-20;Bom;Apartamento;0,00;46540;-8.031186;-34.899559;2023;2023
rua general abreu e lima;309;;600000,00;Tamarineira;Recife;PE;1940;515,76;92,31;1,0;Simples;Casa;RESIDENCIAL;2023-04-14;Bom;Casa;0,00;388;-8.032502;-34.899017;2023;2023
rua general abreu e lima;65;apto 1801 edf quinta das oliveiras;640000,00;Tamarineira;Recife;PE;2004;1068,0;192,86;0,02658;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-11-13;Bom;Apartamento;0,00;388;-8.03449;-34.900195;2023;2023
rua general abreu e lima;70;apto 0602 edf baía de nice;346811,36;Tamarineira;Recife;PE;1995;742,7;112,27;0,05319;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-01-25;Bom;Apartamento;201000,00;388;-8.034779;-34.900219;2023;2023
rua general abreu e lima;70;apto 0701 edf baía de nice;1500000,00;Tamarineira;Recife;PE;1995;742,7;358,89;0,17004;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-08-14;Bom;Apartamento;1200000,00;388;-8.034779;-34.900219;2023;2023
rua silveira lira;46;;730000,00;Tamarineira;Recife;PE;1948;614,56;222,0;1,0;Simples;Casa;RESIDENCIAL;2023-10-17;Bom;Casa;0,00;55450;-8.030606;-34.900888;2023;2023
rua neto de mendonca;165;apto 0502 edf west side park;780000,00;Tamarineira;Recife;PE;2004;2073,04;164,66;0,01239;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-04-28;Bom;Apartamento;180000,00;46124;-8.035228;-34.90069;2023;2023
rua neto de mendonca;165;apto 1004 edf west side park;725000,00;Tamarineira;Recife;PE;2004;2073,04;164,66;0,01239;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-05-05;Bom;Apartamento;169000,00;46124;-8.035228;-34.90069;2023;2023
rua neto de mendonca;121;apto 0401 edf amareto;890000,00;Tamarineira;Recife;PE;1994;1196,22;270,19;0,04;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-03-02;Bom;Apartamento;0,00;46124;-8.035375;-34.901085;2023;2023
rua neto de mendonca;67;apto 0801 edf mário sette - itatiaia village;1346898,23;Tamarineira;Recife;PE;1988;1270,15;384,95;0,04377;Superior;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-06-13;Bom;Apartamento;0,00;46124;-8.035511;-34.901626;2023;2023
rua neto de mendonca;25;apto 0006 edf maia;625000,00;Tamarineira;Recife;PE;1948;817,0;156,23;0,15356;Simples;Apartamento <= 4 Pavimentos;RESIDENCIAL;2023-07-17;Bom;Apartamento;0,00;46124;-8.035726;-34.901847;2023;2023
av conselheiro rosa e silva;1930;apto 601 edf golden jaqueira home service;260000,00;Tamarineira;Recife;PE;2024;1644,09;65,72;0,01418;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-02-23;Bom;Apartamento;0,00;59382;-8.035235;-34.901863;2023;2023
av conselheiro rosa e silva;1930;apto 602 edf golden jaqueira home service;305000,00;Tamarineira;Recife;PE;2024;1644,09;66,87;0,01443;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-03-31;Bom;Apartamento;0,00;59382;-8.035235;-34.901863;2023;2023
av conselheiro rosa e silva;1930;apto 1005 edf golden jaqueira home service;272132,63;Tamarineira;Recife;PE;2024;1644,09;65,72;0,01418;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-08-02;Bom;Apartamento;0,00;59382;-8.035235;-34.901863;2023;2023
av conselheiro rosa e silva;1930;apto 1204 edf golden jaqueira home service;274816,40;Tamarineira;Recife;PE;2024;1644,09;65,72;0,01418;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-10-02;Bom;Apartamento;0,00;59382;-8.035235;-34.901863;2023;2023
av conselheiro rosa e silva;1930;apto 1102 edf golden jaqueira home service;277872,78;Tamarineira;Recife;PE;2024;1644,09;66,87;0,01443;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-11-08;Bom;Apartamento;0,00;59382;-8.035235;-34.901863;2023;2023
av conselheiro rosa e silva;1930;apto 1103 edf golden jaqueira home service;277872,78;Tamarineira;Recife;PE;2024;1644,09;66,87;0,01443;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-06-19;Bom;Apartamento;0,00;59382;-8.035235;-34.901863;2023;2023
av conselheiro rosa e silva;1930;apto 1305 edf golden jaqueira home service;276168,19;Tamarineira;Recife;PE;2024;1644,09;65,72;0,01418;Médio;Apartamento > 4 Pavimentos;RESIDENCIAL;2023-11-08;Bom;Apartamento;0,00;59382;-8.035235;-34.901863;2023;2023
